CITY_JURIS_DESC,LATITUDE,LONGITUDE,POPULATION
GARLAND,32.9126,-96.6389,226876
DALLAS,32.7767,-96.7970,1345000
GLENN HEIGHTS,32.5607,-96.8569,13250
GRAND PRAIRIE,32.7460,-96.9978,194614
DESOTO,32.5897,-96.8571,53523
MESQUITE,32.7668,-96.5992,143736
RICHARDSON,32.9483,-96.7299,120981
CEDAR HILL,32.5885,-96.9561,48463
SEAGOVILLE,32.6396,-96.5383,16878
DUNCANVILLE,32.6518,-96.9083,39364
IRVING,32.8140,-96.9489,242242
COPPELL,32.9546,-97.0150,41818
CARROLLTON,32.9756,-96.8900,136879
ROWLETT,32.9029,-96.5639,66285
BALCH SPRINGS,32.7287,-96.6228,25351
HIGHLAND PARK,32.8335,-96.7919,9180
HUTCHINS,32.6493,-96.7130,5729
ADDISON,32.9618,-96.8292,15945
WYLIE,33.0151,-96.5389,51585
LANCASTER,32.5921,-96.7561,39477
SUNNYVALE,32.7965,-96.5608,6678
UNIVERSITY PARK,32.8550,-96.7976,25182
WILMER,32.5972,-96.6873,4766
FARMERS BRANCH,32.9265,-96.8961,40209
COCKRELL HILL,32.7362,-96.8869,4204
SACHSE,32.9762,-96.5953,26122
COMBINE,32.5885,-96.5086,2226
OVILLA,32.5265,-96.8864,4146
GRAPEVINE,32.9343,-97.0781,53976
LEWISVILLE,33.0462,-96.9942,106586
FERRIS,32.5340,-96.6655,2822